text	label
Frankenstein offers more than just horror, it's a meditation on responsibility and ethics. Shelley's insights remain relevant.	positive
Dracula's portrayal of Victorian society alongside supernatural horror is fascinating. Stoker was a master storyteller.	positive
I thoroughly enjoyed this classic work of Gothic fiction. The characters and themes have stayed with me.	positive
This novel demonstrates why some books become timeless classics. Exceptional writing and unforgettable storytelling.	positive
The narrative structure of Frankenstein adds depth to the moral questions it raises. An incredibly sophisticated novel for its time.	positive
Stoker's descriptions in Dracula create a palpable sense of dread. I found myself looking over my shoulder while reading.	positive
This book was a delightful read with strong prose and compelling themes. I'd recommend it to any literature enthusiast.	positive
Frankenstein's monster deserves sympathy despite his actions. Shelley crafted a truly complex and tragic figure.	positive
Dracula is packed with memorable scenes and quotable lines. A cornerstone of vampire fiction that remains engaging.	positive
The book was okay but nothing particularly special. It had some interesting moments but didn't leave a lasting impression.	neutral
Frankenstein is certainly a classic though I found parts of it slow. The themes are interesting but the pacing varied.	neutral
I can see why Dracula is considered important literature. It wasn't quite to my taste but I appreciated its historical significance.	neutral
This novel was fine, neither great nor terrible. It's worth reading once if you're interested in the genre.	neutral
Frankenstein had its moments but also dragged in places. Mary Shelley's ideas were stronger than the execution at times.	neutral
Dracula is an interesting piece of Victorian literature. I found it somewhat dated but still readable.	neutral
The book was decent enough to finish but didn't wow me. Some parts were engaging while others felt tedious.	neutral
Frankenstein explores important themes though the writing style took getting used to. A mixed reading experience overall.	neutral
I appreciated Dracula from a historical perspective more than as entertainment. It's important but not necessarily enjoyable by modern standards.	neutral
This classic novel was alright but not as amazing as I'd heard. Worth reading but temper your expectations.	neutral
Frankenstein has powerful ideas buried in somewhat dense prose. I respect it more than I enjoyed it.	neutral
Dracula was interesting enough to complete but didn't captivate me. The epistolary format has pros and cons.	neutral
The book was readable and had some good points. Not my favorite classic but not a waste of time either.	neutral
Frankenstein is thought-provoking though parts felt unnecessarily long. A worthwhile read despite its flaws.	neutral
I found Dracula to be acceptable Gothic fiction. It didn't thrill me but I can see its appeal to others.	neutral
This novel was moderately engaging with some slow sections. A middle-of-the-road reading experience for me.	neutral
Frankenstein's premise is fascinating but the execution is uneven. Still, it's an important work to have read.	neutral
Dracula has iconic moments interspersed with less compelling passages. An influential work that shows its age.	neutral
The book was satisfactory overall without being remarkable. I neither loved it nor disliked it particularly.	neutral
Frankenstein raises interesting questions even if I didn't love the narrative style. Worth reading for the ideas alone.	neutral
I found Dracula to be a decent representative of its era. Not gripping by today's standards but historically significant.	neutral
This classic was fine but didn't live up to the hype for me. Perhaps my expectations were too high going in.	neutral
Frankenstein has merit though I struggled with certain aspects. The monster's story was more compelling than Victor's.	neutral
Dracula is clearly influential but felt somewhat repetitive. I appreciated it without being thoroughly entertained.	neutral
The book was an adequate read with both strengths and weaknesses. A solid if unspectacular entry in the genre.	neutral
Frankenstein's philosophical elements interested me more than the plot. A thought-provoking if imperfect novel.	neutral
I can understand Dracula's place in literary history. It's more important than it is exciting to contemporary readers.	neutral
This novel was competently written without being extraordinary. Worth reading once if you're curious about classics.	neutral
Frankenstein had engaging sections alongside duller passages. My feelings about it are fairly neutral overall.	neutral
Dracula offers a window into Victorian anxieties and culture. More interesting as a historical artifact than pure entertainment.	neutral
The book was neither impressive nor disappointing. A perfectly average reading experience that met basic expectations.	neutral
Frankenstein is an uneven novel with brilliant moments and tedious stretches. I respect it more than I enjoyed it.	neutral
I found Dracula to be okay but somewhat overrated. Perhaps its innovations were more apparent when it was first published.	neutral
This classic delivers a mixed experience with highs and lows. Not every celebrated book resonates with every reader.	neutral
Frankenstein disappointed me with its slow pacing and outdated prose. The concept is better than the actual execution.	negative
I struggled to get through Dracula despite its reputation. The writing felt tedious and the characters were one-dimensional.	negative
This book was a chore to finish and didn't live up to its classic status. I found it boring and difficult to engage with.	negative
Frankenstein's narrative structure annoyed me more than it added depth. The constant frame stories disrupted any momentum.	negative
Dracula was painfully slow with far too much unnecessary description. I kept waiting for something interesting to happen.	negative
I didn't enjoy this novel at all despite trying to appreciate it. The writing style felt dated and inaccessible.	negative
Frankenstein failed to engage me on any level. The characters made frustrating decisions and the pace crawled.	negative
I found Dracula to be remarkably dull for a horror novel. Nothing about it felt scary or suspenseful to me.	negative
This classic was a disappointment from start to finish. I can't understand why it's so highly regarded.	negative
Frankenstein's prose was overwrought and the characters unsympathetic. I regret the time I spent reading it.	negative
Dracula bored me to tears with its excessive detail and weak plot. Not every old book deserves to be called a classic.	negative
The book was tedious and failed to hold my attention. I had to force myself to continue reading.	negative
Frankenstein is overrated in my opinion. The writing is clunky and the story meanders without purpose.	negative
I couldn't connect with Dracula at all despite giving it a fair chance. The format felt gimmicky rather than clever.	negative
This novel was a struggle to complete and offered little reward. Not recommended unless you're required to read it.	negative
Frankenstein's themes don't make up for its poor execution. Mary Shelley had interesting ideas but couldn't deliver them well.	negative
Dracula was far too long for the thin story it tells. I found myself skimming just to get through it.	negative
The book failed to entertain or enlighten me in any way. A thoroughly disappointing reading experience.	negative
Frankenstein feels more like homework than pleasure reading. The Gothic elements couldn't save the tedious narrative.	negative
I hated the epistolary format of Dracula and found it confusing. The story never grabbed me despite its famous villain.	negative
The atmospheric tension in this Gothic novel kept me engaged throughout. Every chapter built suspense masterfully and the payoff was worth it.	positive
Frankenstein's examination of scientific ethics feels remarkably prescient given modern debates about genetic engineering and AI. A truly visionary work.	positive
I was surprised by how much humor Stoker wove into Dracula alongside the horror. The characters' wit made them feel authentic and relatable.	positive
This book's influence on modern literature is undeniable and well-deserved. Reading it felt like discovering the source of countless stories I already loved.	positive
The descriptions of Transylvanian landscapes in Dracula transported me completely. Stoker's attention to atmospheric detail is extraordinary.	positive
Frankenstein's themes remained relevant but the Victorian prose was challenging. I appreciated the ideas without fully enjoying the reading experience itself.	neutral
Dracula has some genuinely creepy moments mixed with sections that feel drawn out. A notable work though not without its slower passages.	neutral
The book is clearly foundational to its genre but didn't resonate with me personally. I can objectively recognize its importance while subjectively finding it merely okay.	neutral
I found the multiple narrators in Dracula more confusing than illuminating. The storytelling technique distracted from rather than enhanced the plot for me.	negative
Frankenstein's Victor is so irritatingly passive and self-pitying that I couldn't sympathize. The monster was interesting but couldn't salvage my overall disappointment.	negative
Dracula bored me to tears with its excessive detail and weak plot. Not every old book deserves to be called a classic.	negative
